Id,Predicted
262120,0
175132,2
218739,0
253483,0
224109,0
107328,2
50218,1
82885,3
26626,0
92297,0
32131,1
253378,0
219343,0
196162,0
123141,2
41562,1
71321,1
58120,1
224183,0
258119,0
36838,1
157497,2
197353,0
50466,1
146983,2
261362,0
107738,2
265287,0
146204,2
289147,0
255452,0
236315,0
108140,2
212931,0
151812,2
124278,2
281972,0
183218,2
70207,2
271659,0
211734,0
272072,0
49461,1
67349,1
57848,1
169761,2
55363,1
11124,1
3175,1
101772,3
3015,1
283865,0
282702,0
240497,0
12415,1
45172,1
193807,0
65595,1
37774,1
284507,0
232539,0
42226,1
33201,1
222446,0
174603,2
66070,1
167420,2
203262,0
56789,1
109086,2
229733,0
247415,0
249535,0
273822,0
81974,3
141453,1
156351,2
283230,0
64825,1
53157,2
99731,3
150782,2
77734,3
261813,0
185063,0
15178,1
66791,1
146200,2
103785,3
32694,3
156123,2
241576,0
51746,2
13897,1
161008,2
262739,0
192066,0
139831,2
283476,0
93728,3
148475,2
274852,0
244261,0
42157,1
168728,2
219512,0
256035,0
157072,2
59789,1
26192,1
185864,0
235401,0
59453,1
204473,0
271027,0
105671,2
273921,0
3437,1
42804,1
289882,0
90476,3
253563,0
201918,0
94962,3
136891,2
226038,0
56384,2
228968,0
91823,3
186296,0
262782,0
39765,1
179598,2
44226,1
268353,0
266186,0
247048,0
280840,0
199875,0
196384,0
149269,2
21599,1
57882,1
180419,2
280697,0
68142,1
86430,2
187583,0
150266,2
31863,1
260593,0
76933,3
203410,0
223819,0
290546,0
17180,1
252448,0
87576,3
208355,0
278825,0
184872,0
54834,1
276972,0
125793,2
182145,2
222599,0
114755,2
41224,1
30811,1
31056,1
236380,0
29006,1
248200,0
190884,0
264386,0
233335,0
69208,1
149131,2
107211,2
268463,0
74457,2
14096,1
62358,1
160352,2
113347,2
275643,0
199727,0
74769,3
148537,2
232974,0
26671,1
124006,2
96066,3
237592,0
85349,3
163229,2
54667,1
146322,2
290989,0
30324,1
136988,2
91296,3
45583,1
49671,1
251233,0
195640,0
282561,0
93563,3
180398,2
278752,0
290587,0
241655,0
194666,0
202497,0
16618,1
36519,1
43014,1
11654,1
20011,2
117342,2
107382,2
31707,1
238336,0
250557,0
48631,1
230288,0
148850,2
269975,0
76921,3
271939,0
208628,0
241109,0
275312,0
33540,1
79133,0
269415,0
224629,0
80798,3
122413,2
34216,1
3846,1
50324,1
185018,0
118179,2
128603,2
25027,1
249499,0
209492,0
24655,1
140404,2
251817,0
231528,0
53137,1
152546,2
100831,3
138241,2
76348,3
42875,1
183139,2
260205,0
8181,1
70895,1
161303,2
98372,3
185901,0
2029,1
260654,0
190164,0
72872,3
222981,0
67112,1
53842,1
244603,0
28627,1
240399,0
133059,2
288109,0
16124,1
129056,2
38659,1
81887,3
208446,0
276391,0
225139,0
25860,1
148126,2
16555,1
17371,1
126457,2
219187,0
270842,0
179984,2
238489,0
83072,3
5090,1
252331,0
12246,1
275332,0
122921,2
216532,0
35024,1
111065,2
290241,0
86535,3
270271,0
97089,3
219015,0
236932,0
203694,0
195071,0
85983,3
22931,1
3661,1
267737,0
24864,1
21050,1
46184,1
110619,2
235673,0
105031,3
142600,1
188171,0
203861,0
209569,0
54486,1
288644,0
84948,3
111175,2
98024,3
248072,0
80997,3
22149,1
71852,1
12112,1
122306,2
11876,1
112507,2
229177,0
136856,2
92045,3
208811,0
284856,0
181401,2
6211,1
210415,0
64980,1
35368,1
263150,0
12724,1
76982,3
148420,2
155595,2
98431,2
132948,2
63737,1
202209,0
254924,0
254548,0
75836,3
71129,1
262834,0
196366,0
13760,1
164660,2
218310,0
38307,1
34129,1
110837,2
227809,0
146681,2
269355,0
211087,0
62222,1
189202,0
272955,0
237158,0
216387,0
50725,1
52556,1
137532,2
101605,0
274389,0
26780,1
7755,1
218384,0
234160,0
103494,3
247112,0
12099,1
6075,1
2735,1
26078,1
191784,0
10687,1
12477,1
41882,1
170730,2
240221,0
169253,2
18464,1
260092,0
168995,2
22514,1
148240,2
204122,0
85031,3
88688,3
106415,2
272101,0
138260,1
147897,2
156602,2
48826,1
281320,0
170113,2
10166,1
109773,2
284372,0
286806,0
5950,1
15255,1
233593,0
16438,1
71227,1
1556,2
43071,1
41288,1
277625,0
159983,2
195937,0
286770,0
220120,0
189139,0
231496,0
286813,0
99758,3
69044,1
228947,0
27709,1
57164,1
205845,0
76530,2
231212,0
138142,2
182040,2
105380,2
14638,1
81812,3
140826,2
261402,0
89585,3
256735,0
220338,0
158313,2
251785,0
12132,1
290603,0
59596,1
40987,1
208428,0
64892,2
50674,1
246152,0
99422,3
83606,3
75045,3
43893,1
250401,0
116918,2
288493,0
18524,1
237282,0
98916,3
202253,0
273970,0
182867,2
163260,2
169921,2
30595,1
173254,2
235083,3
19113,1
267351,0
179219,2
286984,0
100948,3
281017,0
64902,2
102140,3
205994,0
212138,0
188932,0
126689,2
105976,1
6084,1
101196,3
289753,0
235065,0
176756,2
281538,0
173177,2
195499,0
106560,1
252396,0
64668,1
104418,3
15091,1
56410,1
110365,1
286655,0
34310,2
262060,0
4339,1
208798,0
282078,0
221674,0
44170,1
116080,1
250987,0
290582,0
165791,2
242536,0
280244,0
192286,0
147933,1
43729,1
41579,1
135257,2
211424,0
69053,1
200642,0
75892,3
231282,0
71552,2
8644,1
82094,3
278391,0
36768,1
111711,2
63072,1
276690,0
231183,0
117766,2
286696,0
201272,0
192519,0
208725,0
20610,1
148827,2
23716,1
252855,0
210359,0
256592,0
243857,0
190552,0
192262,0
168051,2
129031,2
26228,1
159383,2
244549,0
116345,2
146974,2
256547,0
225550,0
120146,2
108113,2
158969,2
107063,1
147782,3
28077,1
115327,2
258050,0
150304,2
184812,0
84330,3
60828,1
183540,2
49741,1
213418,0
233115,0
140106,2
181863,2
97647,3
232332,0
63958,1
187679,0
155810,2
12128,1
174250,2
8590,1
254089,0
445,0
162565,2
174862,2
162050,2
12450,1
93539,3
76145,3
37378,1
196973,0
218995,0
245800,0
87328,3
240614,0
138892,2
68678,1
4477,1
45690,1
144110,2
276228,0
275625,0
278676,0
37540,1
132213,2
287704,0
212476,0
197027,0
7672,1
202217,0
85716,3
234952,0
137542,2
249380,0
55662,1
143236,2
251307,0
145757,2
15531,1
290362,0
253385,0
106154,2
130629,2
262177,0
187377,0
78277,3
244496,0
172015,2
288565,0
211383,0
211912,0
127337,2
138848,2
104826,3
233003,0
246309,0
147772,2
145492,0
26524,1
51987,1
74218,3
43580,1
142558,1
189189,0
140204,2
36064,1
30772,1
121612,2
54318,1
246986,0
58511,1
290767,0
159972,2
94741,3
238206,0
40720,1
221888,0
88445,3
175361,2
259718,0
107436,2
41208,1
81381,3
142343,2
234235,0
232367,0
281924,0
191171,0
259053,0
207334,0
244231,0
225218,0
100876,3
209241,0
211,2
209447,0
227974,0
38451,1
32301,1
263074,0
126036,2
167500,2
125078,2
155614,2
38833,1
275786,0
77737,3
171458,2
36277,1
16719,2
6667,1
68349,1
95554,2
67173,1
13546,1
162587,2
52493,1
266828,0
79828,3
222531,0
89786,3
215019,0
260912,0
271361,0
145456,0
288037,0
193740,0
108109,2
201880,0
146742,3
185729,0
86058,3
251595,0
192800,0
194953,0
156313,2
63277,1
185872,0
159091,2
153989,2
119809,2
278689,0
103807,3
157349,2
154577,2
161789,1
259348,0
111804,2
61027,1
152398,2
274591,0
110166,2
207755,0
168791,2
91225,3
54716,1
134281,2
164914,2
148407,2
206472,0
236850,0
78655,3
95615,3
82117,3
217833,0
234698,0
133251,2
199107,0
188951,0
267274,0
216875,0
177868,2
135572,2
93695,3
252798,0
167469,2
110621,2
44415,1
86287,0
203395,0
190536,0
61903,1
164000,2
242626,0
114611,2
170713,2
33952,1
86860,3
67001,1
44434,1
76765,3
39519,2
283099,0
190289,0
203784,0
51844,1
14258,1
157590,2
193271,0
146339,2
153393,2
131604,2
211720,0
196057,0
162887,2
97443,3
168192,2
82326,3
228591,0
172220,2
169941,2
13252,1
28698,1
256605,0
70142,1
51611,1
1727,1
222299,0
163215,2
237399,0
14559,1
41322,1
187632,0
215750,0
210934,0
272375,0
31932,1
276407,0
196905,0
215300,0
177525,2
193950,0
284588,0
28809,1
138750,2
187785,0
57302,1
152899,2
56795,1
159945,2
270291,0
243938,0
87541,3
62474,1
260376,0
156084,2
56045,1
99165,3
92379,3
114606,0
53622,1
87921,2
286986,0
61714,1
35535,1
169406,2
166688,2
46309,2
87415,3
186115,0
53358,1
171170,2
221284,0
15449,1
124167,2
73428,3
17648,1
81781,3
148968,2
288065,0
284305,0
21665,1
104484,3
282605,0
168449,2
160239,2
74338,3
12525,1
2626,1
115328,2
115030,2
78236,3
172576,2
61582,1
152386,2
283261,0
266489,0
145534,2
65869,1
231146,0
272563,0
222421,0
178197,2
29257,1
269302,0
280216,0
24767,1
28901,1
104216,3
102883,3
93857,3
200600,0
55893,1
223268,0
232907,0
40006,1
19418,1
246862,0
44499,1
53301,1
83571,3
113069,2
69313,1
166704,2
66839,1
45207,1
20688,1
10709,1
117129,2
11160,1
9990,1
178512,2
85948,3
159472,2
171364,2
148819,2
283738,0
149526,2
6917,1
6408,1
64627,1
247361,0
131010,2
45358,1
75639,3
266146,0
131082,2
194837,0
178096,2
137123,2
209142,0
30265,1
267015,0
109689,2
6342,1
182828,2
290430,0
78521,3
277272,0
44026,1
161909,2
137273,2
132609,2
7629,1
240265,0
107077,2
242347,0
62386,1
102829,3
54094,1
270872,0
58845,1
105788,2
152375,2
59679,1
126685,2
288685,0
257720,0
272669,0
207963,0
58622,1
48847,1
122284,2
142564,1
270601,0
225277,0
72351,1
45919,1
43355,1
182095,2
19736,1
247912,0
289479,0
56630,0
240716,0
279816,0
184519,2
100558,0
210707,0
120310,2
241481,0
164221,2
267656,0
229941,0
101716,3
33905,1
272103,0
185622,0
68895,1
262965,0
109374,2
203630,0
13038,1
201213,0
235811,0
110113,2
120258,2
16048,1
33044,1
208141,0
65017,1
77489,3
257391,0
73494,3
146352,2
113853,2
282452,0
106042,2
52744,1
250891,0
259582,0
263530,0
244329,0
124145,2
71638,1
43937,1
59887,3
102991,3
193719,0
169910,2
271055,0
112940,2
66747,1
66848,1
215177,0
229461,0
116740,1
123915,2
16869,1
82037,3
9459,1
153264,2
111361,2
358,1
259848,0
197881,0
56131,1
169552,2
197808,0
23019,1
207556,0
279008,0
119658,2
238457,0
134946,2
240471,0
33804,1
58462,1
256050,0
131714,2
41853,1
193938,0
285786,0
28245,1
195279,0
130996,2
280944,0
15825,1
4901,1
258222,0
59128,1
226952,0
263147,0
86180,3
287836,0
108090,2
266254,0
30390,1
116181,2
5837,1
288618,0
63262,1
254939,0
196789,0
192554,0
189027,0
202675,0
37896,1
101151,3
966,1
264991,0
190261,0
87143,3
138349,2
75808,3
189006,0
61747,1
91993,3
135164,2
76636,3
270326,0
40951,1
54511,1
58998,1
33614,1
38329,1
275561,0
149856,2
9377,1
189330,0
161545,2
196701,0
208580,0
207671,1
88832,3
135397,2
102302,3
184647,2
47414,1
74355,3
69727,1
43654,1
192546,0
205715,0
246752,0
87402,3
116894,2
244609,0
219018,0
29532,1
18484,1
213769,0
139374,2
143763,2
58882,1
188492,0
174811,2
19523,1
144541,2
96728,3
74729,0
286543,0
22475,0
200563,0
87409,3
244831,0
65115,1
34720,1
208552,0
190166,0
246228,0
53613,1
197670,0
230762,0
32077,0
105030,3
150543,2
96202,3
218784,0
264084,0
251718,0
273332,0
261124,0
201692,0
248476,0
288876,0
33961,1
157564,1
185847,0
256802,0
98478,3
45940,1
39038,1
158447,1
115833,2
198121,0
111632,2
63299,0
90513,3
242471,0
23384,1
130135,2
173460,2
61917,1
217460,0
1542,3
283008,0
108775,2
165380,2
286286,0
120596,2
230318,0
45199,1
6054,1
164027,2
86302,1
191457,0
241024,0
61795,1
24001,1
233604,0
242628,0
1328,1
12523,1
365,1
165421,2
32373,1
245697,0
284352,0
273665,0
117642,2
232049,0
221922,0
14901,1
7244,1
241719,0
62225,1
82177,3
136413,2
76609,0
180857,2
79378,3
105801,2
191847,0
73595,3
254869,0
29905,1
214077,0
152099,2
132317,2
35990,1
220924,0
91441,3
214245,0
272123,0
213679,0
107222,2
88575,3
273043,0
170852,2
250053,0
52006,1
31007,1
153768,2
21336,1
243052,0
2119,0
235196,0
87803,3
229336,0
238038,0
280921,0
101019,3
208747,0
233128,0
18156,2
89242,3
270722,0
262655,0
47115,1
161159,2
268830,1
259597,0
251566,0
284825,0
202467,0
213030,0
52217,1
9379,1
124557,2
56168,1
84182,3
216439,0
289709,0
167511,2
144474,2
109301,2
58257,1
149669,2
230876,0
278912,0
230722,0
101343,3
558,1
271018,0
138356,2
198942,0
289850,0
71140,1
79151,3
224010,0
207682,1
206146,0
60441,1
107472,1
239579,0
37682,1
114616,0
247143,0
258007,0
260668,0
189088,0
273422,0
286901,0
284208,0
